age,edu_level,fav_animals,fav_place,gender
18-24,Podstawowe,Koty,W górach,Kobieta
<18,Podstawowe,Brak ulubionych,Nad wodą,Mężczyzna
35-44,Podstawowe,Brak ulubionych,Nad wodą,Mężczyzna
35-44,Wyższe,Brak ulubionych,Nad wodą,Mężczyzna
35-44,Wyższe,Koty,Nad wodą,Mężczyzna
35-44,Wyższe,Koty,W górach,Mężczyzna
35-44,Podstawowe,Koty,W górach,Mężczyzna
35-44,Średnie,Koty,W górach,Mężczyzna
45-54,Średnie,Koty,W górach,Mężczyzna
45-54,Średnie,Psy,W górach,Mężczyzna
45-54,Wyższe,Psy,W górach,Mężczyzna
45-54,Wyższe,Koty,W górach,Mężczyzna
45-54,Podstawowe,Koty,W górach,Mężczyzna
55-64,Podstawowe,Koty,W górach,Mężczyzna
>=65,Podstawowe,Koty,W górach,Mężczyzna
18-24,Podstawowe,Koty,W górach,Mężczyzna
18-24,Podstawowe,Koty,W górach,Mężczyzna
18-24,Podstawowe,Koty i Psy,W górach,Mężczyzna
18-24,Podstawowe,Koty i Psy,Nad wodą,Mężczyzna
18-24,Podstawowe,Koty i Psy,W lesie,Mężczyzna
18-24,Podstawowe,Koty i Psy,Nad wodą,Mężczyzna
18-24,Podstawowe,Koty,Nad wodą,Mężczyzna
18-24,Średnie,Koty,Nad wodą,Mężczyzna
45-54,Średnie,Koty,Nad wodą,Mężczyzna
18-24,Średnie,Koty,Nad wodą,Mężczyzna
45-54,Średnie,Koty,Nad wodą,Mężczyzna
45-54,Średnie,Koty,Nad wodą,Mężczyzna
25-34,Średnie,Koty,Nad wodą,Mężczyzna
25-34,Wyższe,Koty,Nad wodą,Mężczyzna
25-34,Wyższe,Koty,Nad wodą,Mężczyzna
25-34,Wyższe,Koty,Nad wodą,Mężczyzna
25-34,Wyższe,Koty,Nad wodą,Kobieta
25-34,Wyższe,Psy,Nad wodą,Kobieta
<18,Podstawowe,Brak ulubionych,Nad wodą,Mężczyzna
<18,Podstawowe,Brak ulubionych,Nad wodą,Mężczyzna
35-44,Podstawowe,Brak ulubionych,Nad wodą,Mężczyzna
35-44,Podstawowe,Brak ulubionych,Nad wodą,Mężczyzna
35-44,Podstawowe,Brak ulubionych,Nad wodą,Mężczyzna
<18,Podstawowe,Brak ulubionych,Nad wodą,Mężczyzna
<18,Podstawowe,Brak ulubionych,Nad wodą,Mężczyzna
<18,Podstawowe,Brak ulubionych,Nad wodą,Mężczyzna
<18,Podstawowe,Brak ulubionych,Nad wodą,Mężczyzna
<18,Wyższe,Brak ulubionych,Nad wodą,Mężczyzna
35-44,Wyższe,Brak ulubionych,Nad wodą,Mężczyzna
35-44,Wyższe,Koty,Nad wodą,Mężczyzna
35-44,Wyższe,Koty,W lesie,Mężczyzna
35-44,Wyższe,Koty,W lesie,Kobieta
25-34,Wyższe,Koty,W lesie,Kobieta
25-34,Wyższe,Koty,W lesie,Kobieta
25-34,Wyższe,Koty,Nad wodą,Kobieta
25-34,Wyższe,Koty,Nad wodą,Kobieta
25-34,Wyższe,Koty,Nad wodą,Kobieta
<18,Podstawowe,Brak ulubionych,Nad wodą,Mężczyzna
<18,Podstawowe,Brak ulubionych,Nad wodą,Mężczyzna
<18,Średnie,Brak ulubionych,Nad wodą,Mężczyzna
<18,Wyższe,Brak ulubionych,Nad wodą,Mężczyzna
45-54,Wyższe,Brak ulubionych,Nad wodą,Mężczyzna
25-34,Wyższe,Brak ulubionych,Nad wodą,Mężczyzna
25-34,Wyższe,Inne,Nad wodą,Mężczyzna
25-34,Wyższe,Inne,Nad wodą,Mężczyzna
25-34,Wyższe,Inne,Nad wodą,Mężczyzna
25-34,Średnie,Inne,Nad wodą,Mężczyzna
45-54,Średnie,Inne,Nad wodą,Mężczyzna
45-54,Średnie,Inne,W górach,Mężczyzna
45-54,Średnie,Inne,W górach,Mężczyzna
45-54,Średnie,Inne,W górach,Kobieta
<18,Podstawowe,Brak ulubionych,Nad wodą,Mężczyzna
<18,Podstawowe,Brak ulubionych,Nad wodą,Mężczyzna
<18,Podstawowe,Brak ulubionych,Nad wodą,Mężczyzna
<18,Podstawowe,Brak ulubionych,Nad wodą,Mężczyzna
<18,Podstawowe,Brak ulubionych,Nad wodą,Mężczyzna
<18,Podstawowe,Brak ulubionych,Nad wodą,Mężczyzna
<18,Podstawowe,Brak ulubionych,Nad wodą,Mężczyzna
